idx,sta,kind,recorder,sensor,sensor_sn,lat,lon,elev_m,start,end,days,operator
135,BH2,EDL,3140,L4-3D,1192,-7.52649,110.41065,1285,2004-09-29T09:30:00.000000Z,2004-10-04T13:00:00.000000Z,5.15,Dagmar
136,BI3,EDL,3101,T40,4446,-7.6075,110.44533,830,2004-09-29T07:45:00.000000Z,2004-10-06T03:00:00.000000Z,6.8,Yuan
137,BJ1,EDL,3133,L4-3D,1894,-7.76979,110.63866,154,2004-09-29T02:35:00.000000Z,2004-10-05T09:00:00.000000Z,6.27,Birger
138,BK2,EDL,3142,L4-3D,1339A,-7.65885,110.88086,132,2004-09-29T04:50:00.000000Z,2004-10-05T04:00:00.000000Z,5.97,Birger
139,AK8,EDL,3112,L4-3D,1331A,-7.99222,111.04803,529,2004-09-08T04:00:00.000000Z,2004-10-08T11:00:00.000000Z,30.29,Diana
201,AHB,SAM,0179,T3,3A75,-7.87747,110.31186,80,2004-05-13T08:00:00.000000Z,2004-10-05T08:00:00.000000Z,145.0,Yuan/Kiel
202,AJB,SAM,0177,T3,3A69,-8.05935,110.65646,280,2004-05-14T05:00:00.000000Z,2004-10-05T03:00:00.000000Z,143.92,Yuan/Kiel
203,BGB,SAM,0063,3ESP,3737,-7.49944,110.17211,390,2004-05-15T05:00:00.000000Z,2004-10-08T08:00:00.000000Z,146.12,Yuan/GFZ
204,BIB,SAM,0180,T3,3A95,-7.6075,110.44533,830,2004-03-31T09:00:00.000000Z,2004-07-13T00:00:00.000000Z,103.62,Yuan/Kiel
205,BKB,SAM,0181,T3,3A97,-7.85205,111.11289,325,2004-05-17T08:00:00.000000Z,2004-10-04T06:00:00.000000Z,139.92,Yuan/Kiel
206,AFB,SAM,0050,T3,3641,-7.62696,109.77509,140,2004-05-18T06:00:00.000000Z,2004-10-06T12:00:00.000000Z,141.25,Yuan/GFZ
207,CHB,SAM,0055,T3,3A00,-7.33484,110.40004,1137,2004-05-19T08:00:00.000000Z,2004-10-08T05:00:00.000000Z,141.88,Yuan/GFZ
208,CJB,SAM,0058,T3,3704,-7.45577,110.83399,140,2004-05-19T07:00:00.000000Z,2004-07-15T04:30:00.000000Z,56.9,Yuan/GFZ
209,BEB,SAM,0117,T3,3687,-7.42463,109.74207,740,2004-05-21T05:00:00.000000Z,2004-10-06T12:00:00.000000Z,138.29,Yuan/GFZ
210,CFB,SAM,0064,3ESP,3734,-7.13705,109.95567,980,2004-05-23T09:00:00.000000Z,2004-09-27T06:00:00.000000Z,126.88,Yuan/GFZ
211,DEB,SAM,0059,3ESP,3668,-7.03357,109.73565,290,2004-05-25T05:00:00.000000Z,2004-09-27T09:30:00.000000Z,125.19,Yuan/GFZ
212,DGB,SAM,0175,3T,3717,-7.05743,110.21441,315,2004-06-01T00:00:00.000000Z,2004-09-28T07:00:00.000000Z,119.29,Yuan/Kiel
213,DKB,SAM,0062,3ESP,3681,-7.3227,111.03449,120,2004-05-25T11:00:00.000000Z,2004-09-24T06:00:00.000000Z,121.79,Yuan/GFZ
214,DIB,SAM,0048,3ESP,3711,-7.08947,110.55443,70,2004-05-26T05:00:00.000000Z,2004-09-25T04:00:00.000000Z,121.96,Yuan/GFZ
215,NKB,SAM,0178,T3,3A70,-6.95835,110.99658,232,2004-06-03T07:00:00.000000Z,2004-07-20T02:00:00.000000Z,46.79,Yuan/Kiel
216,NKB,SAM,0175,T3,3A11,-6.95835,110.99658,232,2004-07-27T04:00:00.000000Z,2004-09-24T10:00:00.000000Z,59.25,Yuan/Kiel
250,OB1,OBH,1243,HTI,15,-8.4935,109.45057,-2213,2004-05-02T19:00:00.000000Z,2004-10-02T19:00:00.000000Z,153.0,Flueh
251,OB2,OBS,1256,HTI,73,-9.19008,109.5366,-3135,2004-05-02T18:00:00.000000Z,2004-10-02T18:00:00.000000Z,153.0,Flueh
252,OB3,OBH,1259,HTI,30,-9.83678,110.04328,-1853,2004-05-03T00:00:00.000000Z,2004-10-03T00:00:00.000000Z,153.0,Flueh
253,OB4,OBH,0701,HTI,42,-9.85348,110.77145,-2908,2004-05-03T01:00:00.000000Z,2004-10-03T01:00:00.000000Z,153.0,Flueh
254,OB5,OBH,0402,HTI,28,-9.76285,111.10265,-2824,2004-05-03T06:00:00.000000Z,2004-10-03T06:00:00.000000Z,153.0,Flueh
255,OB6,OBS,1246,HTI,44,-9.45187,111.24327,-2913,2004-05-02T21:00:00.000000Z,2004-10-02T21:00:00.000000Z,153.0,Flueh
256,OB7,OBS,0409,DPG,95,-9.50955,110.72202,-987,2004-05-02T20:00:00.000000Z,2004-10-02T20:00:00.000000Z,153.0,Flueh
257,OB8,OBS,0403,HTI,22,-9.44033,110.16845,-1224,2004-05-02T22:00:00.000000Z,2004-10-02T22:00:00.000000Z,153.0,Flueh
258,OB9,OBS,1235,DPG,75,-9.15218,110.0287,-3302,2004-05-02T23:00:00.000000Z,2004-10-02T23:00:00.000000Z,153.0,Flueh
259,O10,OBH,0711,HTI,23,-8.9728,110.35927,-1696,2004-05-03T05:00:00.000000Z,2004-10-03T05:00:00.000000Z,153.0,Flueh
260,O11,OBH,0405,HTI,27,-9.05865,110.78993,-3224,2004-05-03T02:00:00.000000Z,2004-10-03T02:00:00.000000Z,153.0,Flueh
261,O12,OBH,1236,HTI,39,-9.05558,111.37575,-2474,2004-05-03T03:00:00.000000Z,2004-10-03T03:00:00.000000Z,153.0,Flueh
262,O13,OBH,0401,HTI,38,-8.76868,111.02622,-1133,2004-05-03T04:00:00.000000Z,2004-10-03T04:00:00.000000Z,153.0,Flueh
263,O14,OBH,1238,HTI,45,-8.63455,110.37648,-1093,2004-05-03T08:00:00.000000Z,2004-10-03T08:00:00.000000Z,153.0,Flueh
