time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc,quality_pass
1086866604.00759,-8.850561,110.363342,60.579427,0.18962,9,332.457,105.766,22.63,26.64,2004-06-10 11:23:24.007590055+00:00,False
1086870046.480727,-7.370503,109.360232,14.006673,0.185942,19,265.91,22.7762,1.85,2.88,2004-06-10 12:20:46.480726957+00:00,True
1086889530.603695,-8.679304,110.797834,48.225911,0.276663,34,305.798,56.4059,3.6,4.65,2004-06-10 17:45:30.603694916+00:00,False
1086934783.10656,-8.850561,110.150024,35.542969,0.303876,22,307.012,96.2002,5.77,12.02,2004-06-11 06:19:43.106559992+00:00,False
1086955347.601389,-8.407927,108.872008,96.816406,0.424167,21,304.694,122.844,13.87,29.36,2004-06-11 12:02:27.601388931+00:00,False
1086959271.590196,-8.804454,110.460672,31.013346,0.332979,33,302.873,80.1047,3.54,6.6,2004-06-11 13:07:51.590195894+00:00,False
1086969362.737777,-8.147089,110.866607,97.639974,0.0831401,8,223.236,10.0231,17.51,8.29,2004-06-11 15:56:02.737776995+00:00,False
1086975111.779367,-7.384994,109.377464,18.453939,0.115591,13,259.466,20.8679,2.36,2.89,2004-06-11 17:31:51.779366970+00:00,True
1086991958.141034,-8.797867,110.555319,36.860677,0.381091,9,311.106,96.939,32.9,34.49,2004-06-11 22:12:38.141033888+00:00,False
1086992507.293681,-8.314394,110.151829,86.686523,0.296048,30,234.649,41.0523,5.92,4.09,2004-06-11 22:21:47.293680906+00:00,False
1087001480.435576,-9.10613,110.574056,49.214193,0.454497,21,319.41,108.534,8.74,18.24,2004-06-12 00:51:20.435575962+00:00,False
1087028819.075094,-9.335351,111.516655,-2.670573,0.534053,18,328.105,146.146,34.01,40.51,2004-06-12 08:26:59.075093985+00:00,False
1087046335.307015,-8.27158,110.286984,30.478027,0.223779,24,260.075,30.5637,2.52,2.63,2004-06-12 13:18:55.307014942+00:00,True
1087056554.185212,-8.93092,109.916582,32.989909,0.518523,57,289.388,113.665,4.02,11.45,2004-06-12 16:09:14.185211897+00:00,False
1087061612.596515,-8.484334,111.032096,83.474609,0.227769,17,303.433,46.8766,8.57,5.77,2004-06-12 17:33:32.596514940+00:00,False
1087062759.749105,-8.380262,111.238344,100.193034,0.245627,22,306.381,45.094,7.73,4.02,2004-06-12 17:52:39.749104977+00:00,False
1087068248.289529,-8.320981,111.031866,111.146484,0.048585,8,306.007,32.0523,20.76,9.49,2004-06-12 19:24:08.289529085+00:00,False
1087074595.929201,-8.480382,110.220947,39.08431,0.329959,25,285.371,54.8691,4.45,5.15,2004-06-12 21:09:55.929200888+00:00,True
1087079467.903604,-7.498287,109.862163,13.183105,0.146201,12,133.893,4.23674,2.42,2.94,2004-06-12 22:31:07.903604031+00:00,True
1087106981.984273,-8.365771,108.850879,101.428385,0.462328,21,317.091,120.813,18.2,32.01,2004-06-13 06:09:41.984272957+00:00,False
1087112132.523156,-8.725412,110.308739,27.719076,0.424723,58,291.418,76.0901,2.74,4.28,2004-06-13 07:35:32.523155928+00:00,True
1087139582.241126,-9.171998,112.674458,137.335938,0.433891,18,340.024,224.294,30.27,56.62,2004-06-13 15:13:02.241126060+00:00,False
1087144537.932254,-8.826849,110.462003,54.814453,0.237712,11,332.816,97.9376,11.8,20.97,2004-06-13 16:35:37.932254076+00:00,False
1087146662.7302,-8.6714,110.939083,55.308594,0.258675,11,323.825,70.7711,11.32,13.3,2004-06-13 17:11:02.730200052+00:00,False
1087157162.159563,-6.796791,111.949336,10.094727,0.404772,37,295.696,47.3349,4.08,4.38,2004-06-13 20:06:02.159563065+00:00,True
