time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc,quality_pass
1085674425.046036,-7.897443,110.630998,144.253906,0.152716,8,207.972,14.2197,77.45,36.63,2004-05-27 16:13:45.046036005+00:00,False
1085680044.438581,-8.758999,110.463344,39.990234,0.345716,23,300.36,84.937,5.16,9.8,2004-05-27 17:47:24.438580990+00:00,False
1085725072.526416,-8.972411,110.503335,40.154948,0.306511,9,311.31,116.756,19.09,27.44,2004-05-28 06:17:52.526416063+00:00,False
1085738437.180714,-8.81301,111.435171,33.648763,0.277031,29,319.555,93.0186,5.16,8.85,2004-05-28 10:00:37.180713892+00:00,False
1085742149.299165,-8.390137,110.676436,22.201172,0.25024,26,270.821,29.1078,2.33,3.18,2004-05-28 11:02:29.299165010+00:00,True
1085752431.936245,-8.390795,110.678434,22.077637,0.276009,32,271.001,29.0942,2.11,3.02,2004-05-28 13:53:51.936244965+00:00,True
1085755038.76559,-8.824867,110.119387,73.75651,0.12058,9,331.653,110.694,25.97,32.66,2004-05-28 14:37:18.765589952+00:00,False
1085759695.280251,-7.830916,110.365688,9.888835,0.116086,10,149.928,13.4338,3.19,3.78,2004-05-28 15:54:55.280251026+00:00,True
1085771937.956174,-8.04367,110.635037,93.769206,0.0840647,10,143.233,8.79809,7.62,3.43,2004-05-28 19:18:57.956173897+00:00,False
1085772604.058102,-7.915886,110.936912,121.358724,0.181097,14,222.54,12.9538,13.55,4.05,2004-05-28 19:30:04.058101892+00:00,False
1085806950.836308,-8.309119,110.98993,12.030111,0.244398,24,297.97,18.6891,2.29,2.24,2004-05-29 05:02:30.836308002+00:00,True
1085814308.800678,-7.721904,110.62928,37.951904,0.325901,47,38.1088,5.42374,1.19,1.76,2004-05-29 07:05:08.800678015+00:00,True
1085821105.312018,-8.840675,111.191266,35.872396,0.303441,12,343.711,104.115,16.39,22.25,2004-05-29 08:58:25.312017918+00:00,False
1085826832.879024,-8.848579,110.991296,26.154297,0.350289,17,324.166,75.3967,6.79,9.51,2004-05-29 10:33:52.879024029+00:00,False
1085848525.099301,-8.614089,110.087623,96.157552,0.0804297,8,347.269,98.4222,37.0,33.37,2004-05-29 16:35:25.099301100+00:00,False
1085867450.483451,-8.860436,111.152638,34.142904,0.267452,24,328.713,81.3571,6.61,8.47,2004-05-29 21:50:50.483450890+00:00,False
1085870226.001425,-7.441635,111.22339,237.975911,0.471451,37,229.658,16.3163,11.31,5.86,2004-05-29 22:37:06.001425028+00:00,False
1085906621.268844,-8.301873,110.32626,43.366862,0.255157,13,337.041,35.6672,6.84,3.8,2004-05-30 08:43:41.268843889+00:00,False
1085908950.113267,-7.682054,110.638241,32.94873,0.145531,18,135.285,9.75595,3.14,2.27,2004-05-30 09:22:30.113266945+00:00,True
1085920157.806806,-8.26367,111.783925,16.930339,0.340441,20,322.39,91.5279,6.98,10.0,2004-05-30 12:29:17.806806087+00:00,False
1085928483.792866,-8.106903,110.310377,85.204102,0.232992,16,231.974,23.0539,8.69,5.7,2004-05-30 14:48:03.792865992+00:00,False
1085933599.973175,-9.154208,110.073674,39.990234,0.290072,25,312.644,130.116,6.88,20.7,2004-05-30 16:13:19.973175049+00:00,False
1085934557.656198,-7.824,110.733697,18.639242,0.29041,30,72.9682,3.59417,1.25,1.57,2004-05-30 16:29:17.656198025+00:00,True
1085938690.135836,-7.736724,109.830608,143.430339,0.274327,25,190.839,11.8921,13.49,3.76,2004-05-30 17:38:10.135835886+00:00,False
1085941339.220197,-8.421753,109.025113,33.73112,0.200554,10,317.803,97.0921,11.52,21.12,2004-05-30 18:22:19.220196962+00:00,False
1085953092.681619,-8.765585,110.35271,36.77832,0.382109,39,293.909,78.6256,3.6,6.2,2004-05-30 21:38:12.681618929+00:00,True
1085969434.015724,-8.886783,110.518001,34.966471,0.305132,25,307.524,86.958,4.52,9.24,2004-05-31 02:10:34.015723944+00:00,False
1085977260.963456,-8.055526,108.406466,170.608073,0.504465,38,318.845,170.414,27.2,42.05,2004-05-31 04:21:00.963455915+00:00,False
1085993370.689842,-8.802472,111.109877,26.401367,0.273282,34,318.995,73.6748,4.57,4.86,2004-05-31 08:49:30.689841986+00:00,False
1086016632.188738,-9.141034,110.599407,28.954427,0.647949,13,325.951,132.443,39.5,38.99,2004-05-31 15:17:12.188738108+00:00,False
1086026337.34615,-8.427023,109.621714,74.580078,0.247599,16,320.922,86.35,11.74,18.23,2004-05-31 17:58:57.346149921+00:00,False
1086029908.761781,-9.894566,112.626909,45.096354,0.489537,26,337.152,269.882,21.48,46.98,2004-05-31 18:58:28.761780977+00:00,False
1086033095.95179,-8.482352,111.382404,20.059896,0.258322,11,339.284,66.1066,8.37,10.49,2004-05-31 19:51:35.951790094+00:00,False
1086042253.203607,-8.853849,109.978032,23.848307,0.449562,16,319.322,103.073,12.78,26.74,2004-05-31 22:24:13.203607082+00:00,False
1086044975.270786,-8.931573,111.299454,8.941732,0.644261,81,303.595,95.3666,4.43,4.02,2004-05-31 23:09:35.270786047+00:00,False
1086046789.313398,-8.905226,110.568672,32.989909,0.414907,49,293.546,87.2835,3.84,6.85,2004-05-31 23:39:49.313397884+00:00,True
1086049761.426522,-8.824867,110.236703,42.13151,0.328776,11,333.43,96.2343,16.27,23.04,2004-06-01 00:29:21.426522017+00:00,False
1086101519.328725,-7.504539,109.875815,10.650635,0.132101,17,100.137,5.86607,0.74,1.18,2004-06-01 14:51:59.328725100+00:00,True
1086106189.290741,-8.845945,111.228606,33.566406,0.337522,10,342.769,93.8893,31.59,29.48,2004-06-01 16:09:49.290740967+00:00,False
1086111648.629381,-7.491365,109.861883,8.46818,0.175995,15,168.223,4.1131,1.21,2.04,2004-06-01 17:40:48.629380941+00:00,True
1086113509.958491,-8.685226,110.372731,39.001953,0.33784,16,311.451,77.7155,8.66,15.5,2004-06-01 18:11:49.958491087+00:00,False
1086122816.357645,-9.894566,112.498533,41.143229,0.489398,23,336.622,280.738,22.59,52.95,2004-06-01 20:46:56.357645035+00:00,False
1086127440.225507,-9.852411,112.626637,41.143229,0.447577,28,328.983,266.589,15.9,43.95,2004-06-01 22:04:00.225507021+00:00,False
1086131162.940246,-8.948699,111.263484,28.130859,0.329224,26,327.482,95.2414,6.67,11.35,2004-06-01 23:06:02.940246105+00:00,False
1086133554.332092,-7.836844,111.341083,54.814453,0.268217,10,313.41,40.9241,7.76,7.94,2004-06-01 23:45:54.332092047+00:00,False
1086158305.039205,-8.785346,110.399358,34.719401,0.361076,31,301.52,79.3408,3.83,7.86,2004-06-02 06:38:25.039205074+00:00,False
1086176620.82977,-8.697082,111.645444,77.791992,0.55156,67,299.582,101.715,5.58,9.1,2004-06-02 11:43:40.829770088+00:00,False
1086176899.090491,-8.266304,110.86541,86.933594,0.263359,37,270.22,9.88159,4.71,2.26,2004-06-02 11:48:19.090491056+00:00,True
1086184947.691887,-9.090974,110.468649,27.142578,0.299012,22,315.728,111.15,7.32,17.34,2004-06-02 14:02:27.691886902+00:00,False
1086212415.587685,-9.130495,110.748843,21.707031,0.363416,9,325.617,124.386,53.94,44.37,2004-06-02 21:40:15.587685108+00:00,False
1086222181.390133,-8.137203,109.723497,249.835286,0.507526,25,240.834,48.7803,63.25,5.64,2004-06-03 00:23:01.390132904+00:00,False
1086254393.348258,-8.2887,110.288991,30.025065,0.229483,17,262.116,32.3599,2.78,3.7,2004-06-03 09:19:53.348258018+00:00,True
