time_utc,latitude,longitude,depth,errh_km,errz_km,nbranch,cid,id,rmsP,rmsS
2004-06-12T13:18:55.220000Z,-8.2767,110.28616,30.709,0.577,0.55,16,1,74,0.26,0.19
2004-06-12T16:09:13.446000Z,-8.94211,109.92056,23.931,-1.0,-1.0,1,149,75,0.0,0.0
2004-06-12T21:09:55.946000Z,-8.4784,110.21963,39.084,-1.0,-1.0,1,304,76,0.0,0.0
2004-06-12T22:31:08.085000Z,-7.50691,109.86785,12.754,0.708,0.554,13,2,77,0.24,0.16
2004-06-13T07:35:32.437000Z,-8.7287,110.31274,20.966,-1.0,-1.0,1,155,78,0.0,0.0
2004-06-13T20:06:02.348000Z,-6.80403,111.9388,10.012,-1.0,-1.0,1,315,79,0.0,0.0
2004-06-14T05:14:01.140000Z,-8.42307,110.61919,32.99,-1.0,-1.0,1,69,80,0.0,0.0
2004-06-14T09:47:37.393000Z,-8.26124,110.31789,33.856,0.893,0.85,16,1,81,0.15,0.25
2004-06-14T16:49:26.620000Z,-5.67703,110.52514,2.724,-1.0,-1.0,1,81,82,0.0,0.0
2004-06-15T03:10:42.613000Z,-8.0305,110.93837,108.099,-1.0,-1.0,1,82,83,0.0,0.0
2004-06-15T09:29:05.384000Z,-7.53366,111.24993,14.016,0.192,0.257,2,14,84,0.22,0.22
2004-06-15T09:32:32.429000Z,-7.53931,111.25563,12.432,0.191,0.257,2,14,85,0.22,0.22
2004-06-15T14:38:31.082000Z,-7.37368,109.37133,15.546,0.325,0.653,2,16,86,0.04,0.24
2004-06-15T20:56:04.190000Z,-8.27114,110.30492,30.272,0.447,0.414,16,1,87,0.14,0.21
2004-06-16T20:49:23.332000Z,-8.40564,110.66675,28.346,0.267,0.321,3,11,88,0.17,0.13
2004-06-17T08:47:46.411000Z,-8.43098,109.86009,73.18,-1.0,-1.0,1,177,89,0.0,0.0
2004-06-18T14:54:52.516000Z,-8.7063,110.27677,39.002,-1.0,-1.0,1,179,90,0.0,0.0
2004-06-18T16:17:06.518000Z,-8.35391,109.68779,64.986,-1.0,-1.0,1,181,91,0.0,0.0
2004-06-18T20:38:02.725000Z,-8.12008,110.5845,88.663,-1.0,-1.0,1,183,92,0.0,0.0
2004-06-19T12:28:28.516000Z,-8.50606,110.95355,20.883,-1.0,-1.0,1,185,93,0.0,0.0
2004-06-19T23:01:19.306000Z,-8.59433,110.31014,71.862,-1.0,-1.0,1,46,94,0.0,0.0
2004-06-20T00:37:50.325000Z,-8.26499,109.79646,75.98,-1.0,-1.0,1,189,95,0.0,0.0
2004-06-20T01:14:48.116000Z,-8.89368,110.14289,31.98,0.669,0.391,5,3,96,0.3,0.52
2004-06-20T07:37:40.300000Z,-8.41582,110.78498,29.819,-1.0,-1.0,1,96,97,0.0,0.0
2004-06-20T08:51:18.176000Z,-8.25511,110.31364,44.643,-1.0,-1.0,1,195,98,0.0,0.0
2004-06-20T18:24:27.941000Z,-8.2281,110.39817,32.66,-1.0,-1.0,1,198,99,0.0,0.0
2004-06-20T20:56:32.803000Z,-7.17421,108.86353,4.0,-1.0,-1.0,1,49,100,0.0,0.0
2004-06-21T06:36:22.690000Z,-8.26444,110.30857,32.238,0.757,0.75,16,1,101,0.19,0.25
2004-06-21T13:28:30.478000Z,-7.78217,111.2007,16.807,-1.0,-1.0,1,203,102,0.0,0.0
2004-06-21T15:52:26.344000Z,-7.81313,109.98207,115.923,-1.0,-1.0,1,102,103,0.0,0.0
2004-06-21T16:54:33.121000Z,-8.08846,110.99165,107.935,-1.0,-1.0,1,51,104,0.0,0.0
2004-06-22T02:16:09.854000Z,-8.26999,110.29436,29.251,0.444,0.347,16,1,105,0.2,0.2
2004-06-22T10:17:53.412000Z,-8.27553,110.27036,33.319,-1.0,-1.0,1,211,106,0.0,0.0
2004-06-22T12:32:35.663000Z,-8.29969,110.9593,20.6,0.06,0.042,2,25,107,0.03,0.02
2004-06-22T16:33:56.879000Z,-7.45428,109.91529,9.194,0.038,0.084,2,26,108,0.17,0.04
2004-06-22T18:36:25.985000Z,-9.12259,110.10573,21.542,-1.0,-1.0,1,108,109,0.0,0.0
2004-06-22T21:18:59.690000Z,-6.36008,110.91289,4.0,-1.0,-1.0,1,220,110,0.0,0.0
2004-06-23T17:09:48.776000Z,-8.41319,111.14054,23.478,-1.0,-1.0,1,110,111,0.0,0.0
2004-06-23T22:15:18.555000Z,-6.28367,110.57885,3.506,-1.0,-1.0,1,55,112,0.0,0.0
2004-06-24T12:36:59.551000Z,-7.84343,110.7121,39.084,-1.0,-1.0,1,112,113,0.0,0.0
2004-06-24T20:31:14.672000Z,-8.33744,109.25444,57.779,-1.0,-1.0,1,113,114,0.0,0.0
2004-06-25T05:58:05.633000Z,-8.21756,110.73093,122.265,-1.0,-1.0,1,229,115,0.0,0.0
2004-06-25T11:23:36.083000Z,-8.24918,110.96789,89.816,-1.0,-1.0,1,115,116,0.0,0.0
2004-06-25T12:49:58.176000Z,-8.31636,111.48055,121.029,-1.0,-1.0,1,233,117,0.0,0.0
2004-06-25T19:30:08.521000Z,-8.07563,110.70931,127.076,0.673,0.239,3,12,118,0.12,0.11
