time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc
1088255508.801902,-8.462592,111.077361,108.428711,0.443537,59,297.574,38.1231,4.44,2.38,2004-06-26 13:11:48.801902056+00:00
1088366237.74266,-8.549538,109.217787,34.307617,0.43109,49,298.898,101.429,4.08,12.12,2004-06-27 19:57:17.742660046+00:00
1088422538.309849,-8.274867,110.302976,31.054525,0.203878,20,249.369,35.8671,2.61,3.05,2004-06-28 11:35:38.309849024+00:00
1088431800.144581,-7.674149,110.458787,8.076986,0.178438,11,199.424,22.4915,1.71,2.68,2004-06-28 14:10:00.144581079+00:00
1088526469.692305,-7.445422,109.916587,9.013794,0.245982,32,58.0133,5.25292,0.79,0.99,2004-06-29 16:27:49.692305088+00:00
1088648163.955897,-8.355227,110.353533,77.421387,0.302433,54,250.385,37.8195,3.51,2.51,2004-07-01 02:16:03.955897093+00:00
1088696600.366207,-9.090974,110.324564,55.473307,0.420585,54,297.361,114.301,4.69,12.74,2004-07-01 15:43:20.366206884+00:00
1088702536.7004,-8.884148,110.157993,31.672201,0.364211,30,285.664,99.0811,4.49,8.63,2004-07-01 17:22:16.700400114+00:00
1088959000.806066,-8.894687,110.171317,24.918945,0.392372,41,291.983,99.4669,3.58,6.14,2004-07-04 16:36:40.806066036+00:00
1088971011.823121,-8.280137,111.035156,21.99528,0.227277,32,281.986,20.2267,2.07,1.58,2004-07-04 19:56:51.823121071+00:00
1088981507.843805,-8.910495,110.141967,32.001628,0.44579,42,287.18,102.491,3.97,9.87,2004-07-04 22:51:47.843805075+00:00
1089009142.969745,-7.102743,109.938105,3.732666,0.0948263,9,240.989,4.28092,1.87,1.14,2004-07-05 06:32:22.969744921+00:00
1089112002.308263,-8.244568,110.488017,82.774577,0.410683,70,219.329,19.261,3.09,1.68,2004-07-06 11:06:42.308263063+00:00
1089140176.82341,-7.198252,109.892178,1.014893,0.141279,8,142.753,9.36459,1.92,2.53,2004-07-06 18:56:16.823410034+00:00
1089217074.209726,-7.76867,110.572123,18.145101,0.249933,16,152.657,7.33166,1.34,1.84,2004-07-07 16:17:54.209726095+00:00
1089240858.117391,-8.264987,110.656412,79.109701,0.251163,28,236.382,18.515,4.11,2.4,2004-07-07 22:54:18.117391109+00:00
1089311859.174255,-8.311095,111.443256,11.000651,0.3603,21,297.676,58.9884,4.63,8.29,2004-07-08 18:37:39.174254894+00:00
1089314867.722082,-8.456664,111.10066,7.006348,0.462462,66,295.905,39.0982,2.75,3.93,2004-07-08 19:27:47.722081900+00:00
1089326439.933499,-7.514419,109.867828,9.621175,0.212007,17,80.6172,10.4256,0.94,2.21,2004-07-08 22:40:39.933499098+00:00
1089388273.354019,-7.534838,109.877765,11.02124,0.121599,11,154.045,10.685,1.41,1.91,2004-07-09 15:51:13.354018927+00:00
1089470085.304706,-8.6681,110.246141,38.260742,0.369675,25,291.946,73.3407,4.46,6.97,2004-07-10 14:34:45.304706097+00:00
1089483612.329145,-8.583789,110.707169,71.532878,0.417041,59,283.943,48.9685,3.67,2.9,2004-07-10 18:20:12.329144955+00:00
1089486432.023579,-7.031605,109.917617,-0.343994,0.2907,30,109.59,12.4589,1.6,1.23,2004-07-10 19:07:12.023578882+00:00
1089670631.710112,-7.460407,109.626764,9.085856,0.267607,22,87.3631,2.73,1.25,1.5,2004-07-12 22:17:11.710112095+00:00
1089700959.547487,-7.207473,109.616636,-0.096924,0.277801,17,144.164,5.07007,3.06,3.3,2004-07-13 06:42:39.547487020+00:00
