idx,time_utc,latitude,longitude,depth,n_picks,n_stations,n_P,n_S
107,2004-05-23T07:27:29.872773Z,-8.760908627235654,110.01351665099968,25.87890625,18,10,10,8
108,2004-05-23T07:47:38.567107Z,-8.61667368020017,109.96280236119887,62.98828125,9,5,5,4
109,2004-05-23T07:51:41.232658Z,-8.700733333419596,109.93722601125911,40.52734375,11,6,5,6
110,2004-05-23T15:40:23.932345Z,-7.691647453404986,110.0148286537318,14.16015625,35,19,18,17
111,2004-05-23T16:04:09.246606Z,-7.59537003070257,111.11928443661625,9.27734375,25,15,13,12
112,2004-05-23T18:00:34.130103Z,-8.833148438728733,110.8538065562101,36.62109375,26,14,13,13
113,2004-05-23T19:44:17.949202Z,-8.135428382844523,111.42510083705781,122.55859375,8,4,4,4
114,2004-05-23T21:14:42.361556Z,-8.30461585002609,110.28112161914184,30.76171875,25,16,15,10
115,2004-05-23T23:39:28.044546Z,-8.280593763130458,110.29384992113526,30.76171875,12,6,6,6
116,2004-05-24T05:01:22.377032Z,-7.727110805556213,111.36071108714329,16.11328125,18,12,10,8
117,2004-05-24T11:56:39.682245Z,-9.10956102414017,110.73938730662907,31.73828125,40,30,22,18
118,2004-05-24T12:16:41.545596Z,-8.412437351959607,111.04420097072209,109.86328125,33,18,16,17
119,2004-05-24T12:58:49.751657Z,-8.735847108316976,109.4916681426406,56.15234375,99,59,56,43
120,2004-05-24T19:19:04.186056Z,-5.901627304748639,110.58586865193814,248.53515625,9,6,6,3
121,2004-05-24T19:19:07.823765Z,-7.7008834871638605,108.88499254046249,201.66015625,26,22,18,8
122,2004-05-24T19:47:00.405683Z,-8.904905557892565,111.10857978342845,24.90234375,47,28,23,24
123,2004-05-24T20:49:10.652039Z,-8.111619379649122,111.32338176439981,118.65234375,8,4,4,4
124,2004-05-24T23:50:32.812300Z,-7.812072424831771,110.54809600125603,21.97265625,21,11,10,11
125,2004-05-25T00:09:32.866594Z,-8.913865464664386,112.12727747490378,187.98828125,19,13,12,7
126,2004-05-25T04:09:24.426813Z,-8.088275839375559,110.1668640946662,29.78515625,43,25,21,22
127,2004-05-25T12:05:51.954805Z,-8.808755343123442,109.8734039986634,62.98828125,20,12,8,12
128,2004-05-25T15:50:37.833909Z,-8.279979732431661,111.23473036187642,92.28515625,8,5,5,3
129,2004-05-25T16:01:46.497015Z,-8.26540127297004,112.11181197346177,156.73828125,19,14,14,5
130,2004-05-25T19:52:11.831559Z,-8.665073134761318,110.67546619019163,60.05859375,46,28,26,20
131,2004-05-25T20:51:10.960968Z,-8.434227911155487,109.0728043357005,31.73828125,37,27,22,15
132,2004-05-26T10:24:48.313382Z,-8.55677471377417,110.10284544393484,64.94140625,71,42,40,31
133,2004-05-26T13:56:18.870256Z,-8.88065036105882,111.23588021733117,28.80859375,8,5,5,3
134,2004-05-26T15:33:08.428535Z,-8.267572103266007,111.4254052069919,124.51171875,61,42,34,27
135,2004-05-26T15:41:07.431788Z,-7.691519735558523,109.9132597917655,17.08984375,15,8,7,8
136,2004-05-26T18:32:56.080866Z,-8.026032466444935,111.88220873626642,135.25390625,11,7,6,5
137,2004-05-26T19:00:47.690525Z,-8.833221049187431,110.76467526733062,96.19140625,15,9,7,8
138,2004-05-26T19:43:07.253788Z,-8.28031689348591,109.9886993819881,248.53515625,11,7,7,4
139,2004-05-26T21:21:36.242867Z,-8.556360854419342,111.19708025507012,78.61328125,18,10,10,8
140,2004-05-26T23:15:03.402483Z,-9.23932119421377,111.83564345925627,0.48828125,24,16,12,12
141,2004-05-27T12:39:15.648040Z,-8.73713225085615,110.2808714518136,105.95703125,18,12,10,8
142,2004-05-27T15:52:34.837248Z,-7.6057148163466755,109.15184117987296,241.69921875,12,8,7,5
143,2004-05-27T16:06:57.964222Z,-8.541730162704606,108.9197763176047,55.17578125,19,12,7,12
144,2004-05-27T16:13:45.144485Z,-7.703906495965758,110.67505482912642,146.97265625,8,5,4,4
